date,covid_month,season,state,tests,cases,hospitalizations,deaths
2020-08-26,8,Summer,CO,7113,193,8,1
2020-08-26,8,Summer,CT,20874,180,0,0
2020-08-26,8,Summer,DE,2495,24,0,1
2020-08-26,8,Summer,FL,56520,2937,370,155
2020-08-26,8,Summer,GA,18051,2236,222,49
2020-08-26,8,Summer,HI,3364,0,0,0
2020-08-26,8,Summer,ID,4705,405,16,12
2020-08-26,8,Summer,IL,50362,2157,0,37
2020-08-26,8,Summer,IN,21687,938,188,18
2020-08-26,8,Summer,IA,6065,941,0,15
2020-08-26,8,Summer,KS,8140,1536,43,11
2020-08-26,8,Summer,KY,7772,662,0,7
2020-08-26,8,Summer,LA,14806,1545,0,54
2020-08-26,8,Summer,ME,4533,21,2,1
2020-08-26,8,Summer,MD,12377,440,39,10
2020-08-26,8,Summer,MA,36478,336,20,27
2020-08-26,8,Summer,MI,41345,843,0,6
2020-08-26,8,Summer,MN,11021,529,36,17
2020-08-26,8,Summer,MS,4529,904,26,58
2020-08-26,8,Summer,MO,6568,1426,0,9
2020-08-26,8,Summer,MT,1753,161,8,1
2020-08-26,8,Summer,NE,1934,301,16,0
2020-08-26,8,Summer,NV,7626,253,0,20
2020-08-26,8,Summer,NH,3576,9,0,1
2020-08-26,8,Summer,NJ,23730,326,41,10
2020-08-26,8,Summer,NM,5593,197,24,5
2020-08-26,8,Summer,NY,71189,566,0,8
2020-08-26,8,Summer,NC,14920,1244,0,36
2020-08-26,8,Summer,ND,4260,233,6,0
2020-08-26,8,Summer,OH,21556,1089,87,48
2020-08-26,8,Summer,OK,6553,666,82,19
2020-08-26,8,Summer,OR,7674,236,10,8
2020-08-26,8,Summer,PA,21461,501,0,19
2020-08-26,8,Summer,RI,5643,82,4,2
2020-08-26,8,Summer,SC,3972,605,0,44
2020-08-26,8,Summer,SD,1829,292,7,1
2020-08-26,8,Summer,TN,27382,1936,88,20
2020-08-26,8,Summer,TX,47103,5407,0,229
2020-08-26,8,Summer,UT,5973,407,27,4
2020-08-26,8,Summer,VT,1537,4,0,0
2020-08-26,8,Summer,VA,7507,823,67,21
2020-08-26,8,Summer,WA,54,632,53,9
2020-08-26,8,Summer,WV,4817,145,0,3
2020-08-26,8,Summer,WI,17840,786,41,6
2020-08-26,8,Summer,WY,1280,50,0,0
2020-08-26,8,Summer,NA,0,0,0,0
2020-08-26,8,Summer,NA,2126,38,0,1
2020-08-26,8,Summer,NA,952,136,0,2
2020-08-26,8,Summer,NA,0,0,0,0
2020-08-26,8,Summer,NA,18,18,0,9
2020-08-26,8,Summer,NA,354,32,0,2
2020-08-27,8,Summer,AL,12023,1769,0,31
2020-08-27,8,Summer,AK,1416,84,1,0
2020-08-27,8,Summer,AZ,20913,680,50,33
2020-08-27,8,Summer,AR,6755,722,43,7
2020-08-27,8,Summer,CA,85658,4430,0,143
2020-08-27,8,Summer,CO,10236,350,26,4
2020-08-27,8,Summer,CT,20586,130,93,2
2020-08-27,8,Summer,DE,3285,-10,0,0
2020-08-27,8,Summer,FL,50652,3229,316,139
2020-08-27,8,Summer,GA,19936,2484,188,82
2020-08-27,8,Summer,HI,4064,276,25,2
2020-08-27,8,Summer,ID,1728,305,19,11
2020-08-27,8,Summer,IL,44510,1707,0,23
